nom_leg,nombres
Francisco Javier Contreras Ramírez,francisco javier contreras ramírez
Francisco Javier Eric Sevilla Montes de Oca,francisco javier eric sevilla montes de oca
Francisco Javier Fernandez Clamont,francisco javier fernandez clamont
Francisco Javier Gallegos Chavarría,francisco javier gallegos chavarría
FRANCISCO JAVIER IBARRA JÁQUEZ,francisco javier ibarra jáquez
Francisco Javier Jiménez Huerta,francisco javier jiménez huerta
Francisco Javier Malaxechevarría González,francisco javier malaxechevarría gonzález
FRANCISCO JAVIER MORALES HERNANDEZ,francisco javier morales hernandez
Francisco Javier Rodríguez García,francisco javier rodríguez garcía
Francisco Lauro Rojas San Román,francisco lauro rojas san román
Francisco Martínez Delgado,francisco martínez delgado
Francisco Rodríguez Álvarez,francisco rodríguez álvarez
Francisco Rodríguez Posada ,francisco rodríguez posada 
Francisco Solano Urías,francisco solano urías
FRANCISCO SOLORZANO VALLES,francisco solorzano valles
Fredy Fernando Martínez Quijano,fredy fernando martínez quijano
Fredy Gil Pineda Gopar,fredy gil pineda gopar
Frey García Guevara,frey garcía guevara
Fuentes Urrutla Carlos Gabriel,fuentes urrutla carlos gabriel
Gabriel Ángel García Cantú,gabriel ángel garcía cantú
Gabriel Antonio Godinez Jiménez,gabriel antonio godinez jiménez
Gabriel Gómez del campo Gurza,gabriel gómez del campo gurza
Gabriel Olvera Hernández,gabriel olvera hernández
Gabriela Benavides Cobos,gabriela benavides cobos
Gabriela de la Paz Sevilla Blanco,gabriela de la paz sevilla blanco
Galo Carrillo Villalpando,galo carrillo villalpando
Gándara Andrade Alfredo,gándara andrade alfredo
García Brlngas Leandro Rafael,garcía brlngas leandro rafael
García Hernández Jaqueline,garcía hernández jaqueline
García Martínez Neyda Beatriz,garcía martínez neyda beatriz
Garrido Sánchez Francisco,garrido sánchez francisco
Genaro Cervanrtes Vega,genaro cervanrtes vega
Gene René Bojórquez Ruíz,gene rené bojórquez ruíz
Geovanna del Carmen Bañuelos de la Torre,geovanna del carmen bañuelos de la torre
Geraldine González Cervantes,geraldine gonzález cervantes
Gerardo del Mazo Morales,gerardo del mazo morales
Gerardo García Henestroza,gerardo garcía henestroza
Gerardo Mejía Ramírez,gerardo mejía ramírez
Gerardo Pliego Santana,gerardo pliego santana
Germán Farías Silvestre,germán farías silvestre
Gilberto Zamora Salas,gilberto zamora salas
Gildardo Real Ramírez,gildardo real ramírez
Gina Araceli Rocha Ramírez,gina araceli rocha ramírez
Gloria Aguilar Ita,gloria aguilar ita
Gloria González Burboa,gloria gonzález burboa
Gloria Herrera,gloria herrera
Gloria Porras Valles,gloria porras valles
Gloria Romero León,gloria romero león
GLORIA TRINIDAD LUNA RUIZ,gloria trinidad luna ruiz
Gómer Monárrez Lara,gómer monárrez lara
Gómez Cota,gómez cota
Graciela Larios Rivas,graciela larios rivas
Gregorio Murillo Uscanga,gregorio murillo uscanga
Gregorio Pablo Jiménez Carrillo,gregorio pablo jiménez carrillo
Gretel Culin Jaime,gretel culin jaime
Guadalupe Adela Gracia Benitez,guadalupe adela gracia benitez
Guadalupe Carrizoza Ch.,guadalupe carrizoza ch.
Guadalupe Celia Flores Escobedo,guadalupe celia flores escobedo
Guadalupe Chávez Acosta,guadalupe chávez acosta
